# Crypto Prices - Updated: 2026-07-26 21:36:05 UTC
# Source: CoinGecko API | Total: 250 coins

SYMBOL|NAME|PRICE_USD|MARKET_CAP|VOLUME_24H|CHANGE_24H|CHANGE_7D|CHANGE_30D
LTC|Litecoin|47.62|3687131456|211642150|2.70|0.10|14.20
USDG|Global Dollar|0.998749|3275557346|132350258|0.00|0.00|0.00
SHIB|Shiba Inu|5.27e-06|3104404596|525118797|3.60|28.40|25.50
HBAR|Hedera|0.069752|3054655417|32841900|-1.50|5.30|-2.90
USYC|Circle USYC|1.13|2955639885|1207.56|0.00|-0.10|0.30
SUI|Sui|0.716234|2902112806|119521059|-0.10|-4.80|2.10
AVAX|Avalanche|6.67|2881525272|177935720|-0.60|3.70|4.20
CRO|Cronos|0.056864|2688500355|5839824|0.40|-3.20|3.20
PYUSD|PayPal USD|0.999649|2685352776|16655832|0.00|0.00|0.00
BUIDL|BlackRock USD Institutional Digital Liquidity Fund|1.0|2636982101|0|0.00|0.00|0.00
XAUT|Tether Gold|4063.46|2490152800|134405713|0.00|1.00|-0.10
UNI|Uniswap|3.87|2421331234|169495571|5.20|10.80|29.50
NEAR|NEAR Protocol|1.8|2338822061|70785653|-0.30|-6.50|-1.30
USDY|Ondo US Dollar Yield|1.14|2153689482|1183130|-0.10|-0.10|0.00
ONDO|Ondo|0.39637|1930016508|115764103|3.50|14.20|24.50
TAO|Bittensor|197.4|1894379458|76542735|3.00|-0.10|-7.90
PAXG|PAX Gold|4066.92|1809164629|32635998|0.20|1.30|-0.10
OKB|OKB|84.55|1775480399|13762871|1.80|5.30|12.60
WLFI|World Liberty Financial|0.055126|1750956408|21068407|-2.10|-4.60|-5.10
ASTER|Aster|0.625001|1679205988|41676921|-0.20|0.90|-0.50
HTX|HTX DAO|1.82e-06|1638261087|21958146|-0.40|-1.80|9.00
M|MemeCore|1.22|1614432803|10621826|1.70|1.80|54.40
RLUSD|Ripple USD|1.0|1589828025|47475635|0.00|0.00|0.00
USDD|USDD|0.999285|1558603724|101065251|0.00|0.00|0.10
AAVE|Aave|97.25|1498945327|243808440|5.70|8.90|1.60
USDF|Falcon USD|0.995134|1419220596|698592|-0.10|-0.10|0.00
DOT|Polkadot|0.818457|1387124159|50260798|0.10|0.10|-4.70
MNT|Mantle|0.411446|1358577071|18491582|-0.30|-2.80|-6.20
SKY|Sky|0.057574|1344320659|6979398|-1.10|-5.20|15.50
BFUSD|BFUSD|0.998677|1318253820|122074|0.00|0.00|0.00
WLD|Worldcoin|0.348609|1308287098|151671985|0.20|-3.30|-26.40
MORPHO|Morpho|1.95|1277518548|25051542|-2.50|-2.30|13.90
PEPE|Pepe|2.91e-06|1222854389|291682491|4.10|2.10|21.10
ICP|Internet Computer|2.17|1207239413|26700231|0.50|1.40|-2.30
BGB|Bitget Token|1.69|1180809912|5840321|1.10|2.60|2.70
ETC|Ethereum Classic|7.05|1112014826|53775403|5.40|1.30|-3.80
USDGO|USDGO|1.0|1107787625|9825393|0.00|0.00|0.00
BEAT|Audiera|3.54|1093879315|15195281|6.30|50.20|45.40
U|United Stables|0.999961|1070166979|40663194|0.00|0.00|0.00
BCAP|Blockchain Capital|106.2|967706188|0|0.00|363.10|363.10
STABLE|​​Stable|0.03830599|951484992|9514331|-3.70|7.00|3.10
QNT|Quant|63.38|921061959|7036129|0.20|-1.10|-6.30
KCS|KuCoin|6.61|907099664|3015622|-0.30|-0.40|-2.90
PI|Pi Network|0.082849|906507559|8355392|0.00|-13.00|-35.00
JTRSY|Janus Henderson Anemoy Treasury Fund|1.11|870230095|0|0.00|1.90|1.90
JST|JUST|0.105288|862145900|21720940|1.70|8.00|28.80
POL|POL (ex-MATIC)|0.076944|822201493|20675620|0.00|-4.70|7.50
USTB|Invesco Short Duration US Government Securities Fund|11.16|820859897|0|0.00|1.90|1.90
ENA|Ethena|0.085332|815849490|78626377|-1.10|6.00|6.30
KAS|Kaspa|0.02899083|799863578|5598887|3.60|3.80|2.60
PUMP|Pump.fun|0.00196869|782623179|49372005|5.90|6.00|42.70
RENDER|Render|1.47|764313915|19984527|0.40|-0.90|-5.60
ALGO|Algorand|0.08408|754029143|13494559|-0.50|1.70|0.80
NEXO|NEXO|0.737047|737575664|3138795|-1.50|-2.40|-0.20
ATOM|Cosmos Hub|1.4|728207312|19211983|0.20|-5.90|-13.00
GT|Gate|6.68|711826849|1367951|0.60|0.80|2.80
JAAA|Janus Henderson Anemoy AAA CLO Fund|1.042|685600762|0|0.00|2.10|2.10
币安人生|币安人生 (BinanceLife)|0.658064|658139535|18626849|6.00|-3.00|-8.40
VVV|Venice Token|13.76|653570145|31135253|1.20|19.80|-0.10
BDX|Beldex|0.082472|648888533|14027772|-0.10|0.00|1.30
GHO|GHO|0.998741|648180281|714118|0.00|0.10|0.10
JUP|Jupiter|0.188585|626054482|11947618|-0.20|-2.40|-17.70
YLDS|YLDS|0.99949|599323613|1287592|0.00|0.00|0.00
FIL|Filecoin|0.738109|596140592|42926156|0.60|3.00|-1.30
XDC|XDC Network|0.02794669|557410618|4790749|-1.30|-2.30|-0.50
FLR|Flare|0.00639973|556261763|1846328|-0.70|-1.30|-6.60
USD0|Usual USD|0.99996|553157906|152771|0.00|0.10|0.20
ARB|Arbitrum|0.082523|545461711|26169357|-1.20|-7.20|10.60
EUTBL|Spiko EU T-Bills Money Market Fund|1.23|542706022|0|-0.10|-0.30|1.20
APT|Aptos|0.624304|527606304|40621190|2.10|5.00|3.20
LIT|Lighter|2.1|525192706|20642848|2.50|-5.70|17.00
USX|USX|0.999249|522692223|1101727|0.00|0.00|0.00
HASH|Provenance Blockchain|0.00909485|507087253|6561.85|5.20|10.80|-3.40
TUSD|TrueUSD|0.995665|492372056|25154208|0.00|-0.10|-0.20
INJ|Injective|4.92|492179386|46649379|-3.50|-5.20|0.50
A7A5|A7A5|0.01223721|479982934|210.79|-0.40|-0.10|-0.40
US|Talus|0.0454357|454743633|3815907|0.30|4.90|187.80
CAKE|PancakeSwap|1.41|453272331|17208958|0.20|0.80|4.60
EURC|EURC|1.14|432658785|11101612|0.20|-0.40|0.00
DASH|Dash|32.62|416968098|31037482|0.00|-4.60|-5.90
ETHFI|Ether.fi|0.423681|412302634|25494426|2.10|-7.40|14.70
OUSG|Ondo Short-Term U.S. Government Bond Fund|116.0|408977304|0|0.00|1.90|1.90
VET|VeChain|0.00468984|403154335|5214921|0.00|0.30|4.80
AERO|Aerodrome Finance|0.41348|402812555|42602180|0.80|-7.90|-14.00
PENGU|Pudgy Penguins|0.00630268|396158296|62550230|0.40|3.30|1.30
TRUMP|Official Trump|1.59|394534970|47495965|1.20|-2.20|-6.40
VIRTUAL|Virtuals Protocol|0.592668|389621661|33638221|0.80|-3.90|10.50
UB|Unibase|0.150776|376984401|10147711|23.80|63.50|88.90
USDTB|USDtb|0.999726|354266231|966146|0.00|0.00|0.10
FET|Artificial Superintelligence Alliance|0.157425|352637110|32444938|0.40|0.10|-10.10
SUN|Sun Token|0.01824289|350655919|51301798|-0.60|-1.50|8.80
FDUSD|First Digital USD|0.997637|346337487|100307991|0.00|0.00|0.10
DEXE|DeXe|3.58|345338316|312134582|-18.10|-89.70|-82.80
PYTH|Pyth Network|0.04331305|340985145|13108387|0.50|-10.20|27.30
NIGHT|Midnight|0.01968158|326820481|11873275|-1.10|-25.60|-35.70
TIA|Celestia|0.344229|326110191|14639520|1.30|-4.70|-10.10
CRV|Curve DAO|0.208224|320376897|21354402|0.80|-2.50|5.80
LDO|Lido DAO|0.377087|315404698|21566147|-0.30|6.30|50.00
KAU|Kinesis Gold|131.0|312596779|10006.81|0.60|2.10|5.10
SPX|SPX6900|0.333641|310632386|4325867|0.00|-2.40|0.70
ZRO|LayerZero|0.851392|300844535|13773362|-1.20|5.50|5.40
SEI|Sei|0.04461736|300201462|16803773|-0.50|-4.50|-14.80
LUNC|Terra Luna Classic|5.358e-05|296225632|8088702|-1.30|-5.10|-15.30
JTO|Jito|0.586984|294954552|19758548|-1.20|3.30|-32.40
APXUSD|apxUSD|0.854535|289836874|1360588|-0.90|1.90|13.10
GNO|Gnosis|108.31|285830870|1073666|1.00|-1.80|3.30
KAITO|KAITO|1.18|283696002|98060808|18.00|23.30|126.50
OHM|Olympus|18.7|279327972|82106|0.90|1.00|16.70
ANTFUN|AntFun|0.04231328|278337440|15561101|0.10|3.60|0.00
CTOC|CTOC|0.055071|275403417|304501|0.20|0.20|0.10
BSV|Bitcoin SV|13.61|273023576|6803869|3.10|3.00|20.20
BONK|Bonk|3.07e-06|270470731|41641370|-0.30|9.20|-27.40
BTT|BitTorrent|2.72434e-07|268297325|3768056|0.70|-0.60|3.00
STX|Stacks|0.144125|267588490|13505477|3.80|-11.90|-14.90
BCN|Bytecoin|0.00144421|265763830|32.87|0.00|0.00|4140.60
NFT|AINFT|2.67644e-07|265001768|4666355|-0.40|-0.40|2.10
PENDLE|Pendle|1.52|261593171|18987808|2.60|-3.10|19.60
IMX|Immutable|0.126934|253762742|6605785|1.20|1.60|0.60
KITE|Kite|0.105956|253354801|20514951|1.00|-4.20|-24.50
REAL|RealLink|0.075256|251413049|6966143|0.30|4.20|27.50
ONYC|OnRe Tokenized Reinsurance|1.13|249848744|1850817|0.00|0.20|1.00
MON|Monad|0.0209989|248252438|14204953|0.50|-1.70|8.70
CARDS|Collector Crypt|0.121172|242267148|1115695|0.60|-21.80|-53.30
XTZ|Tezos|0.221466|241769631|5340017|-1.70|-1.50|2.20
CFX|Conflux|0.04424614|231128917|2583892|0.60|-3.80|2.40
Q|Quack AI|0.02228891|222885402|8645779|-1.90|10.80|29.10
XPL|Plasma|0.082626|222130845|26764062|-0.80|2.60|-20.60
FRAX|Legacy Frax Dollar|0.993109|220291655|124671|0.00|0.30|0.40
FGRS|FGRS (Figure Tokenized Stock)|31.51|218752349|666.57|15.20|6.00|15.80
JASMY|JasmyCoin|0.00441684|218294777|3639744|0.70|-6.30|-4.90
GRASS|Grass|0.340328|215089031|11458567|0.30|-6.00|-27.40
FLOKI|FLOKI|2.223e-05|214381201|25099867|-1.50|4.80|0.00
KOGE|KOGE|63.4|214288998|5144.42|-0.20|-1.10|-2.00
OP|Optimism|0.093582|213903000|19280791|0.40|-1.50|-12.10
SYRUP|Maple Finance|0.171749|213773621|3111065|0.00|-4.90|28.60
2Z|DoubleZero|0.061239|212465665|2749674|-1.20|-5.70|-7.00
STRK|Starknet|0.03134823|211482205|17353396|4.60|9.80|7.20
CRVUSD|crvUSD|0.998906|210910411|6642442|0.00|-0.10|0.00
BC|BCGame Coin|0.02085867|208371785|164561|-5.20|25.20|66.40
AUSD|AUSD|0.999439|208359445|1617919|0.00|0.00|0.00
DCR|Decred|11.56|202554172|579204|-0.20|-8.10|2.80
PC0000031|Tradable NA Rent Financing Platform SSTN|1.0|202500000|0|0.00|0.00|0.00
APEPE|Ape and Pepe|9.60492e-07|201712024|16275884|-0.10|0.00|-6.20
APR|aPriori|0.199556|199456496|2252891|-0.50|-7.20|2.00
PIEVERSE|Pieverse|0.724869|199342286|88988154|13.80|16.90|12.40
COCO|coco|0.193212|193210017|36862|0.10|-3.00|-11.70
ULTIMA|Ultima|2280.26|193135547|6153407|-0.10|-5.00|13.70
VELVET|Velvet|0.45714|192388074|6846205|0.70|-9.70|-33.40
VBILL|VanEck Treasury Fund|1.0|191970241|0|0.00|0.00|0.00
ZBCN|Zebec Network|0.0019157|191571893|9654111|0.80|-2.50|-20.90
KAG|Kinesis Silver|50.8|189099101|389901|-10.70|-7.10|-14.60
ENS|Ethereum Name Service|4.55|186779569|11446112|4.00|-0.20|6.90
KAIA|Kaia|0.02984392|186517548|3171521|-0.20|-9.00|-14.30
USAT|USAT|0.998846|185269847|2531965|0.00|0.00|0.10
PEANUT|Peanut|0.00059528|184537139|2.36|-14.90|-14.90|-17.30
B|BUILDon|0.181397|181356761|10128309|13.20|-27.90|-24.70
WFI|WeFi|2.09|179282437|3380151|-2.20|-1.80|3.00
FF|Falcon Finance|0.060285|179057091|6125597|0.00|-0.40|-9.30
COMP|Compound|17.4|173951088|6812409|0.00|1.90|8.10
GRT|The Graph|0.01598356|172617581|7924560|-1.80|-2.50|-12.10
RAY|Raydium|0.632226|170283927|7688207|0.40|-6.90|0.10
TEL|Telcoin|0.00169803|169824365|529329|-0.40|-6.80|-27.40
BANK|Lorenzo Protocol|0.392478|166948006|100213326|13.90|70.60|934.30
REUSD|Re Protocol reUSD|1.091|166887325|1022628|0.00|0.10|0.60
VCNT|ViciCoin|16.51|165049239|277748|0.90|9.70|1.30
PC0000033|Tradable APAC Diversified Finance Provider SSTN|1.0|162500000|0|0.00|0.00|0.00
BTW|Bitway|0.07274|160055171|8910594|1.50|10.90|-17.00
USTBL|Spiko US T-Bills Money Market Fund|1.09|159594541|0|0.00|1.90|1.90
IOTA|IOTA|0.0346549|157983614|3056088|0.30|-2.80|-9.90
SAFO|Spiko Amundi Overnight Swap Fund|1.015|157315305|0|0.00|0.00|0.00
USDAI|USDai|0.999312|156497641|3967829|0.00|0.00|0.10
AXS|Axie Infinity|0.887289|154588634|9830734|-1.00|-3.70|-12.60
APYUSD|apyUSD|1.2|154474971|451349|-0.50|2.40|16.70
EIGEN|EigenCloud (prev. EigenLayer)|0.207586|153795975|16116363|0.00|-11.00|-6.90
WIF|dogwifhat|0.153603|153388063|27247566|-2.00|1.00|-0.50
MX|MX|1.65|151240817|3216341|0.10|-0.80|-2.80
GUSD|GUSD|0.999087|149653219|2104785|0.00|0.10|0.10
HOLO|Holoworld|0.072688|148829532|9436780|6.10|15.70|5.90
CHZ|Chiliz|0.0140412|148408976|16746132|-1.80|-6.70|-22.40
XPIN|XPIN Network|0.00148042|147890479|2821683|1.10|-1.70|8.60
EARNETH|Lido Earn ETH|1942.55|147356064|0|1.90|-15.60|-15.60
VSN|Vision|0.03955101|147077503|576819|0.30|14.80|33.60
EURCV|EUR CoinVertible|1.14|146970104|778265|0.20|-0.40|0.00
TWT|Trust Wallet|0.352312|146773300|15234462|4.60|4.70|-0.10
LION|Loaded Lions|0.00146325|146325114|9501.99|-0.30|-3.60|0.20
RUNE|THORChain|0.429055|145048628|7034017|0.20|-3.50|6.40
BORG|SwissBorg|0.14777|144948893|312823|-1.90|-3.50|-9.70
EDGE|edgeX|0.41184|144106456|3729642|0.10|0.80|35.70
APE|ApeCoin|0.143592|143584737|9232134|-0.30|-2.20|-3.80
BTSE|BTSE Token|0.882173|143014894|3920992|-3.00|-4.40|-2.30
CVX|Convex Finance|1.4|139949272|6457677|5.30|16.50|25.10
AKT|Akash Network|0.471994|139727218|3362587|-0.80|-10.80|-27.20
NEO|NEO|1.98|139425323|3365151|0.20|-4.30|2.20
USDAT|Saturn Dollar|0.99929|139410398|1160822|0.00|0.00|0.00
ZANO|Zano|9.03|139028230|971840|-0.20|-5.00|-8.00
XCN|Onyxcoin|0.00354046|137682456|2108583|0.80|-1.70|-4.70
THETA|Theta Network|0.136684|136564428|3451916|-0.30|0.40|2.40
SAND|The Sandbox|0.04537832|136133406|8040855|0.00|-3.10|-4.10
XEC|eCash|6.78e-06|136028087|8651217|-1.60|-19.20|32.10
STRCX|Strategy PP Variable xStock|90.46|135479044|91719|-1.90|-1.10|15.30
PC0000097|Tradable LatAm Fintech SSTN|1.0|134000000|0|0.00|0.00|0.00
MANA|Decentraland|0.068343|133770370|6605533|-0.70|-1.40|3.20
FARTCOIN|Fartcoin|0.129311|129307749|12782292|3.40|-2.20|-0.30
M|Mantis|1.29|128717758|383597|66.70|79.80|-61.40
SNX|Synthetix|0.221599|128717552|12081695|2.70|1.00|10.40
USDZ|Zedxion USDZ|0.997272|127410573|60453|0.00|0.00|0.00
GENIUS|Genius|0.377292|126495678|10243197|2.00|18.30|-3.70
OZO|Ozone Chain|0.130392|125449047|239485|-0.10|0.10|0.10
ZAMA|Zama|0.056555|124441231|56094958|1.80|56.80|75.80
GRX|GRX Chain|13.05|124120898|359352|-14.80|0.00|228.70
CASH|CASH|0.998818|124054634|6234292|0.00|0.00|0.00
SHFL|Shuffle|0.288456|122661464|666743|2.80|7.70|1.00
TAG|TAGGER|0.00112665|122638177|2601371|7.30|-3.40|13.90
TRAC|OriginTrail|0.27357|122363857|1110377|-1.60|-13.20|-0.30
AR|Arweave|1.86|122153702|5725733|-0.50|-1.40|-1.30
H|Humanity|0.060999|121470682|1663619|-5.00|5.20|-0.80
ICNT|Impossible Cloud Network Token|0.169263|118484655|575668|-2.20|0.10|-31.10
BP|Backpack|0.472237|118062929|1391526|1.70|4.70|-12.50
SOSO|SoSoValue|0.345044|117994612|5161763|-1.80|20.20|16.60
1INCH|1INCH|0.08393|117947162|9749796|1.60|14.90|20.90
THBILL|Theo Short Duration US Treasury Fund|1.012|117285337|18602.3|-0.10|-0.60|-0.70
AIAT|AI Analysis Token|0.234107|117053447|23268|1.30|2.10|2.60
GOMINING|GoMining Token|0.28861|116607144|6970006|-0.10|1.60|3.60
AVUSD|Avant USD|0.999698|115691718|1124.22|0.00|0.10|0.10
